task_id,task_description,created_at,due_date,assigned_to,priority,status,category,estimated_hours,actual_hours,user_workload,user_skill_level,clean_description,priority_encoded,workload_score
104,Whom firm us door former get audience interview service memory.,26-05-2025,12-06-2025,user_5,Medium,To Do,Improvement,8.8,7.7,9.7,Intermediate,firm door former get audience interview service memory,2,0.9897959183673468
105,Give over person professor prepare new wish yet quickly.,03-06-2025,08-06-2025,user_6,Medium,To Do,Bug,11.7,11.9,2.2,Expert,give person professor prepare new wish yet quickly,2,0.17322834645669294
106,School through concern soon table happen.,02-05-2025,25-05-2025,user_9,Medium,In Progress,Feature,5.7,4.4,7.7,Intermediate,school concern soon table happen,2,1.1492537313432836
107,College item probably let defense relationship with without ten create beyond which.,17-06-2025,23-07-2025,user_1,Medium,To Do,Bug,5.6,4.2,7.3,Beginner,college item probably let defense relationship without ten create beyond,2,1.1060606060606062
108,Onto mind why serious after through time enough current avoid talk challenge.,12-05-2025,07-07-2025,user_1,Medium,Done,Improvement,3.5,4.3,9.8,Expert,onto mind serious time enough current avoid talk challenge,2,2.177777777777778
109,Bank speech simple form view college one public later.,27-05-2025,27-05-2025,user_3,High,Done,Improvement,7.6,6.4,1.1,Intermediate,bank speech simple form view college one public later,0,0.12790697674418605
110,Improve attorney young unit by affect whom remember others benefit parent.,10-06-2025,16-06-2025,user_3,Low,Done,Improvement,2.8,2.4,9.4,Beginner,improve attorney young unit affect remember others benefit parent,1,2.473684210526316
111,Town easy discussion resource traditional picture.,04-06-2025,28-06-2025,user_10,Low,Done,Improvement,7.6,6.2,3.8,Intermediate,town easy discussion resource traditional picture,1,0.4418604651162791
112,Close environmental yourself suggest too myself any middle from including put.,10-06-2025,10-06-2025,user_7,Medium,In Progress,Feature,3.8,3.1,6.9,Expert,close environmental suggest middle including put,2,1.4375000000000002
113,Director relate land me determine kitchen exactly during player heavy weight.,14-06-2025,23-06-2025,user_2,Medium,To Do,Bug,2.9,2.8,7.1,Expert,director relate land determine kitchen exactly player heavy weight,2,1.8205128205128205
114,Fund project reality benefit allow even which hand hair allow such act.,10-06-2025,15-07-2025,user_7,Low,To Do,Improvement,9.5,8.4,2.6,Intermediate,fund project reality benefit allow even hand hair allow act,1,0.24761904761904763
115,Course us buy often major cultural responsibility billion.,14-05-2025,23-07-2025,user_7,High,To Do,Bug,4.1,3.6,6.4,Intermediate,course buy often major cultural responsibility billion,0,1.254901960784314
116,Budget represent theory tell rather sort.,09-05-2025,09-07-2025,user_4,Medium,In Progress,Feature,10.5,9.8,11.9,Intermediate,budget represent theory tell rather sort,2,1.0347826086956522
117,Walk read executive including future if author company him push ability available adult.,10-05-2025,15-05-2025,user_10,Medium,To Do,Bug,5.3,5.5,5.4,Intermediate,walk read executive including future author company push ability available adult,2,0.8571428571428572
118,Hard inside end instead make wrong contain never early main service.,01-05-2025,17-05-2025,user_8,Medium,Done,Feature,8.3,9.4,4.7,Expert,hard inside end instead make wrong contain never early main service,2,0.5053763440860215
119,Most against article me ok brother.,13-06-2025,19-06-2025,user_2,Medium,In Progress,Feature,4.2,2.0,11.5,Beginner,article brother,2,2.2115384615384617
120,Coach issue security strategy away almost knowledge pull.,24-06-2025,21-07-2025,user_3,Low,Done,Improvement,5.6,5.1,9.8,Intermediate,coach issue security strategy away almost knowledge pull,1,1.484848484848485
121,Book national decision first how these question.,18-05-2025,11-06-2025,user_5,Medium,In Progress,Bug,2.5,3.7,2.2,Intermediate,book national decision first question,2,0.6285714285714287
122,Others hear level operation community perform such pick.,31-05-2025,07-07-2025,user_4,High,Done,Bug,3.9,3.0,1.4,Intermediate,others hear level operation community perform pick,0,0.2857142857142857
123,Huge action summer sort house end bill perhaps these.,11-06-2025,20-07-2025,user_6,Medium,To Do,Improvement,5.2,7.2,10.7,Expert,huge action summer sort house end bill perhaps,2,1.725806451612903
124,Special cut plan how bar mention soon expert may son have outside.,03-06-2025,07-07-2025,user_3,Medium,To Do,Feature,8.1,7.8,8.9,Expert,special cut plan bar mention soon expert may son outside,2,0.9780219780219781
125,Party adult onto range sort floor apply.,17-05-2025,08-07-2025,user_9,High,To Do,Bug,7.2,10.2,10.6,Beginner,party adult onto range sort floor apply,0,1.2926829268292683
126,Election him believe unit expert discover authority stand wear some surface significant begin.,09-06-2025,09-07-2025,user_8,Medium,To Do,Bug,7.1,7.5,4.4,Expert,election believe unit expert discover authority stand wear surface significant begin,2,0.54320987654321
127,Blue put street Republican exactly statement billion fine happen life term spring soldier.,27-04-2025,10-06-2025,user_4,Medium,To Do,Bug,2.4,2.3,1.8,Intermediate,blue put street republican exactly statement billion fine happen life term spring soldier,2,0.5294117647058824
128,Continue energy itself director ball so out church reflect art behind peace.,15-06-2025,17-07-2025,user_4,High,In Progress,Bug,4.0,3.4,4.5,Expert,continue energy director ball church reflect art behind peace,0,0.9
129,Reflect election present staff one inside she detail movie chair already.,11-06-2025,24-06-2025,user_10,High,In Progress,Improvement,9.3,8.1,7.4,Intermediate,reflect election present staff one inside detail movie chair already,0,0.7184466019417476
130,Artist right debate parent partner success add society use anything learn exactly.,08-06-2025,07-07-2025,user_5,High,In Progress,Improvement,6.2,6.3,8.0,Expert,artist right debate parent partner success add society use anything learn exactly,0,1.1111111111111112
131,Go partner stock save long perhaps player effect trip nor as collection degree.,20-05-2025,08-07-2025,user_8,Medium,To Do,Feature,11.7,7.9,5.7,Expert,partner stock save long perhaps player effect trip collection degree,2,0.4488188976377953
132,Cup be him because fill group training house example instead election again.,07-06-2025,25-06-2025,user_4,Medium,To Do,Bug,2.3,2.2,3.9,Expert,cup fill group training house example instead election,2,1.1818181818181819
133,For society team write yet enter front them bank.,10-05-2025,23-05-2025,user_3,Low,In Progress,Feature,8.4,9.6,7.7,Beginner,society team write yet enter front bank,1,0.8191489361702128
134,Arm employee item wear work notice during.,11-05-2025,20-07-2025,user_2,High,Done,Bug,3.9,3.8,9.1,Intermediate,arm employee item wear work notice,0,1.857142857142857
135,Value put line remember key effort myself pattern.,11-06-2025,07-07-2025,user_5,High,To Do,Improvement,7.6,5.2,2.5,Intermediate,value put line remember key effort pattern,0,0.29069767441860467
136,Owner five fill grow past trial.,10-05-2025,19-05-2025,user_7,Medium,Done,Improvement,11.1,12.7,10.6,Expert,owner five fill grow past trial,2,0.8760330578512396
137,Charge good hope rather American think its beyond find.,04-06-2025,28-06-2025,user_6,Low,Done,Bug,9.2,10.1,10.2,Beginner,charge good hope rather american think beyond find,1,1.0
138,Out simple season month government outside as recent pressure short institution.,24-05-2025,17-06-2025,user_5,Medium,In Progress,Feature,9.6,9.6,4.5,Beginner,simple season month government outside recent pressure short institution,2,0.42452830188679247
139,Trial yet difference seat professor however both.,11-06-2025,03-07-2025,user_5,Medium,In Progress,Improvement,6.4,8.4,9.2,Intermediate,trial yet difference seat professor however,2,1.243243243243243
140,Culture sit our approach story despite family finally car change leader.,18-05-2025,29-05-2025,user_8,High,In Progress,Feature,5.8,5.5,2.0,Beginner,culture sit approach story despite family finally car change leader,0,0.29411764705882354
141,Cell use institution crime arm live great act wish term.,03-05-2025,10-06-2025,user_6,Medium,Done,Feature,7.3,7.5,2.1,Expert,cell use institution crime arm live great act wish term,2,0.25301204819277107
142,Field adult nearly agency claim mean another sign.,21-05-2025,11-07-2025,user_3,Medium,Done,Improvement,11.8,12.4,11.5,Expert,field adult nearly agency claim mean another sign,2,0.8984375
143,Value morning nearly best step evening lot.,10-05-2025,28-05-2025,user_1,Medium,To Do,Bug,4.3,3.6,11.1,Beginner,value morning nearly best step evening lot,2,2.0943396226415096
144,Spring fire add reduce material bit interest.,29-04-2025,11-07-2025,user_3,High,Done,Bug,7.8,7.6,6.2,Intermediate,spring fire add reduce material bit interest,0,0.7045454545454545
145,Western event sing growth value growth describe speak might each include own record month.,03-06-2025,25-06-2025,user_5,Medium,In Progress,Feature,4.8,5.3,3.5,Intermediate,western event sing growth value growth describe speak might include record month,2,0.603448275862069
146,Challenge support decision character themselves fine simply never market.,18-05-2025,18-06-2025,user_6,Low,In Progress,Improvement,2.6,3.2,8.6,Beginner,challenge support decision character fine simply never market,1,2.388888888888889
147,Sometimes pick yeah unit safe point walk clearly anyone rise part fight note.,30-05-2025,06-07-2025,user_5,Low,In Progress,Improvement,8.2,7.0,1.2,Expert,sometimes pick yeah unit safe point walk clearly anyone rise part fight note,1,0.13043478260869565
148,Up religious popular maybe keep a reach speech your similar may sport.,11-06-2025,27-06-2025,user_9,Medium,To Do,Bug,2.5,2.9,11.9,Expert,religious popular maybe keep reach speech similar may sport,2,3.4
